Samples,Volume_sample,TH_final,TH_initial,Ca_final,Ca_initial,Abs_420_nm,Abs_220_nm,Abs_275_nm,Cl_final,Cl_initial,Abs_fluoride,fc_10,fc_1,fc_0.1,tc_10,tc_1,tc_0.1
KTM1,50,0.65,0,0.3,0,0.014,0.16,0.004,3.7,3.4,0.1675,3,0,0,3,2,3
KTM2,50,0.6,0,0.9,0.3,0.015,0.138,0.002,0.65,0.45,0.1673,2,0,0,2,0,0
KTM3,50,1.2,0.65,0.6,0.9,0.003,0.14,0.002,4,3.7,0.1725,0,0,0,0,0,0
KTM4,50,3.6,2.9,5.35,0.6,0,0.06,0.02,1.2,1,0.1734,3,3,0,3,3,2
KTM5,50,4.2,3.6,5.7,5.35,0.01,0.054,0.018,1.35,1.2,0.1843,0,0,0,0,1,0
KTM6,50,4.9,4.2,6,5.7,0.002,0.045,0.018,1.5,1.35,0.1645,1,1,0,2,1,1
KTM7,50,1.5,0.9,1.8,0,0.009,0.08,0.022,0.8,0.6,0.1823,0,0,0,3,2,2
KTM8,50,2.4,1.8,2.9,1.8,0.005,0.11,0.02,1,0.8,0.1745,2,1,0,3,0,2
KTM9,50,1.85,1.2,0.9,0,0.006,0.1,0.022,4.3,4,0.1845,0,0,0,3,2,0
KTM10,50,8.4,1.85,4.1,3.2,0.001,0.076,0.01,4.8,4.3,0.1725,1,1,0,2,2,0
KTM11,50,15,8.4,6.7,4.1,0.002,0.065,0.012,5,4.8,0.1655,1,0,0,2,0,0
KTM12,50,21.4,15,9.8,6.7,0.008,0.088,0.014,5.2,5,0.1675,1,0,0,2,0,1
KTM13,50,26,21.4,11.9,9.8,0.15,0.063,0.018,5.4,5.2,0.1625,0,1,0,1,1,0
KTM14,50,30.9,26,14.15,11.9,0.085,0.082,0.015,5.6,5.4,0.1675,0,0,0,3,1,0
KTM15,50,35.6,30.9,16.35,14.15,0.142,0.068,0.015,5.75,5.6,0.1575,0,0,0,1,1,0
KTM16,50,38.8,35.6,18.2,16.35,0.001,0.32,0.012,6,5.8,0.1755,3,0,0,1,0,0
KTM17,50,42.05,38.8,20,18.2,0.003,0.31,0.014,6.2,6,0.1825,3,2,0,1,0,0
KTM18,50,45.2,42.05,21.8,20,0.006,0.312,0.008,6.4,6.2,0.1875,0,0,0,0,1,0
KTM19,50,50,40,25,21.8,0.002,0.315,0.012,6.4,6.2,0.1832,2,2,1,0,0,0
KTM20,50,55,25,28,25,0.134,0.09,0.015,6.4,6.2,0.1876,2,2,1,0,0,0
